"pop","area","density","metro","waste","energy","miles","toxic","green","house","senate","csat","vsat","msat","percent","expense","income","high","college"
"pop",1,0.32,0.19,0.57,0.54,-0.16,-0.38,-0.16,-0.24,0.06,0.1,-0.33,-0.4,-0.27,0.25,0.21,0.3,-0.12,0.16
"area",0.32,1,-0.49,-0.05,-0.03,0.31,0.28,0.15,0.18,-0.48,-0.44,0.17,0.13,0.21,-0.35,-0.38,-0.29,0.15,-0.06
"density",0.19,-0.49,1,0.6,0.26,-0.34,-0.56,-0.28,-0.31,0.55,0.61,-0.43,-0.43,-0.43,0.62,0.69,0.69,-0.02,0.48
"metro",0.57,-0.05,0.6,1,0.48,-0.31,-0.6,-0.18,-0.41,0.22,0.37,-0.41,-0.43,-0.37,0.44,0.43,0.68,0.09,0.46
"waste",0.54,-0.03,0.26,0.48,1,-0.28,-0.26,-0.26,-0.31,0.27,0.14,-0.24,-0.26,-0.21,0.2,0.15,0.28,-0.11,0.13
"energy",-0.16,0.31,-0.34,-0.31,-0.28,1,0.47,0.6,0.77,-0.59,-0.49,0.24,0.26,0.23,-0.41,-0.31,-0.45,-0.15,-0.38
"miles",-0.38,0.28,-0.56,-0.6,-0.26,0.47,1,0.2,0.5,-0.32,-0.51,0.12,0.15,0.09,-0.29,-0.49,-0.43,-0.05,-0.26
"toxic",-0.16,0.15,-0.28,-0.18,-0.26,0.6,0.2,1,0.26,-0.44,-0.49,0.29,0.33,0.25,-0.41,-0.45,-0.44,-0.23,-0.31
"green",-0.24,0.18,-0.31,-0.41,-0.31,0.77,0.5,0.26,1,-0.56,-0.37,0.31,0.31,0.31,-0.4,-0.18,-0.37,-0.01,-0.3
"house",0.06,-0.48,0.55,0.22,0.27,-0.59,-0.32,-0.44,-0.56,1,0.67,-0.47,-0.47,-0.46,0.64,0.54,0.53,0.15,0.42
"senate",0.1,-0.44,0.61,0.37,0.14,-0.49,-0.51,-0.49,-0.37,0.67,1,-0.32,-0.35,-0.3,0.54,0.7,0.66,0.27,0.51
"csat",-0.33,0.17,-0.43,-0.41,-0.24,0.24,0.12,0.29,0.31,-0.47,-0.32,1,0.99,0.99,-0.87,-0.43,-0.47,0.1,-0.3
"vsat",-0.4,0.13,-0.43,-0.43,-0.26,0.26,0.15,0.33,0.31,-0.47,-0.35,0.99,1,0.98,-0.87,-0.46,-0.49,0.07,-0.32
"msat",-0.27,0.21,-0.43,-0.37,-0.21,0.23,0.09,0.25,0.31,-0.46,-0.3,0.99,0.98,1,-0.86,-0.4,-0.44,0.13,-0.27
"percent",0.25,-0.35,0.62,0.44,0.2,-0.41,-0.29,-0.41,-0.4,0.64,0.54,-0.87,-0.87,-0.86,1,0.67,0.71,0.15,0.59
"expense",0.21,-0.38,0.69,0.43,0.15,-0.31,-0.49,-0.45,-0.18,0.54,0.7,-0.43,-0.46,-0.4,0.67,1,0.72,0.32,0.56
"income",0.3,-0.29,0.69,0.68,0.28,-0.45,-0.43,-0.44,-0.37,0.53,0.66,-0.47,-0.49,-0.44,0.71,0.72,1,0.46,0.8
"high",-0.12,0.15,-0.02,0.09,-0.11,-0.15,-0.05,-0.23,-0.01,0.15,0.27,0.1,0.07,0.13,0.15,0.32,0.46,1,0.63
"college",0.16,-0.06,0.48,0.46,0.13,-0.38,-0.26,-0.31,-0.3,0.42,0.51,-0.3,-0.32,-0.27,0.59,0.56,0.8,0.63,1
